Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   645458     0.00     0.00  maze::Cell* const& std::forward<maze::Cell* const&>(std::remove_reference<maze::Cell* const&>::type&)
  0.00      0.00     0.00   637602     0.00     0.00  std::_Hashtable<maze::Cell*, maze::Cell*, std::allocator<maze::Cell*>, std::__detail::_Identity, std::equal_to<maze::Cell*>, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_node_allocator()
  0.00      0.00     0.00   321616     0.00     0.00  std::_Hashtable<maze::Cell*, std::pair<maze::Cell* const, unsigned int>, std::allocator<std::pair<maze::Cell* const, unsigned int> >, std::__detail::_Select1st, std::equal_to<maze::Cell*>, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_node_allocator()
  0.00      0.00     0.00   319511     0.00     0.00  std::__detail::_Hash_node<maze::Cell*, false>::_M_next() const
  0.00      0.00     0.00   319495     0.00     0.00  std::pair<maze::Cell* const, unsigned int> const& std::forward<std::pair<maze::Cell* const, unsigned int> const&>(std::remove_reference<std::pair<maze::Cell* const, unsigned int> const&>::type&)
  0.00      0.00     0.00   248377     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.00     0.00   248377     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.00      0.00     0.00   248356     0.00     0.00  std::hash<maze::Cell*>::operator()(maze::Cell* const&) const
  0.00      0.00     0.00   248356     0.00     0.00  std::hash<unsigned long>::operator()(unsigned long) const
  0.00      0.00     0.00   248356     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<maze::Cell*>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<maze::Cell*>, true> const&)
  0.00      0.00     0.00   243062     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00   239403     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      0.00     0.00   163320     0.00     0.00  std::__detail::_Hash_code_base<maze::Cell*, maze::Cell*, std::__detail::_Identity, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      0.00     0.00   163314     0.00     0.00  std::__detail::_Hash_code_base<maze::Cell*, maze::Cell*, std::__detail::_Identity, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.00      0.00     0.00   162286     0.00     0.00  std::__detail::_Hash_code_base<maze::Cell*, maze::Cell*, std::__detail::_Identity, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      0.00     0.00   162286     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true> const&)
  0.00      0.00     0.00   161650     0.00     0.00  std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false>::_M_next() const
  0.00      0.00     0.00   160933     0.00     0.00  maze::Cell* const& std::__detail::_Identity::operator()<maze::Cell* const&>(maze::Cell* const&) const
  0.00      0.00     0.00   160138     0.00     0.00  std::__detail::_Hash_code_base<maze::Cell*, maze::Cell*, std::__detail::_Identity, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<maze::Cell*, false> const*, unsigned long) const
  0.00      0.00     0.00   159756     0.00     0.00  std::_Hashtable<maze::Cell*, maze::Cell*, std::allocator<maze::Cell*>, std::__detail::_Identity, std::equal_to<maze::Cell*>, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(std::__detail::_Hash_node<maze::Cell*, false>*) const
  0.00      0.00     0.00   158801     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<maze::Cell*, false> >::deallocate(std::__detail::_Hash_node<maze::Cell*, false>*, unsigned long)
  0.00      0.00     0.00   158801     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<maze::Cell*, false> >::destroy<std::__detail::_Hash_node<maze::Cell*, false> >(std::__detail::_Hash_node<maze::Cell*, false>*)
  0.00      0.00     0.00   158801     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<maze::Cell*, false> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00   158801     0.00     0.00  _ZN9__gnu_cxx13new_allocatorINSt8__detail10_Hash_nodeIPN4maze4CellELb0EEEE9constructIS6_IRKS5_EEEvPT_DpOT0_
  0.00      0.00     0.00   158801     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<maze::Cell*, false> >::max_size() const
  0.00      0.00     0.00   158801     0.00     0.00  std::__detail::_Hash_node<maze::Cell*, false>* std::_Hashtable<maze::Cell*, maze::Cell*, std::allocator<maze::Cell*>, std::__detail::_Identity, std::equal_to<maze::Cell*>, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_allocate_node<maze::Cell* const&>(maze::Cell* const&)
  0.00      0.00     0.00   158801     0.00     0.00  std::_Hashtable<maze::Cell*, maze::Cell*, std::allocator<maze::Cell*>, std::__detail::_Identity, std::equal_to<maze::Cell*>, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_deallocate_node(std::__detail::_Hash_node<maze::Cell*, false>*)
  0.00      0.00     0.00   158801     0.00     0.00  std::__detail::_Hash_node<maze::Cell*, false>::_Hash_node<maze::Cell* const&>(maze::Cell* const&)
  0.00      0.00     0.00   158006     0.00     0.00  std::__detail::_Hash_code_base<maze::Cell*, maze::Cell*, std::__detail::_Identity, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_copy_code(std::__detail::_Hash_node<maze::Cell*, false>*, std::__detail::_Hash_node<maze::Cell*, false> const*) const
  0.00      0.00     0.00    84460     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true> const&)
  0.00      0.00     0.00    83693     0.00     0.00  std::__detail::_Hash_code_base<maze::Cell*, std::pair<maze::Cell* const, unsigned int>, std::__detail::_Select1st, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      0.00     0.00    83683     0.00     0.00  std::__detail::_Hash_code_base<maze::Cell*, std::pair<maze::Cell* const, unsigned int>, std::__detail::_Select1st, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.00      0.00     0.00    83219     0.00     0.00  std::__detail::_Hash_code_base<maze::Cell*, std::pair<maze::Cell* const, unsigned int>, std::__detail::_Select1st, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      0.00     0.00    81292     0.00     0.00  decltype ((get<0>)((forward<std::pair<maze::Cell* const, unsigned int> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<maze::Cell* const, unsigned int> const&>(std::pair<maze::Cell* const, unsigned int> const&) const
  0.00      0.00     0.00    81292     0.00     0.00  std::__detail::_Hash_code_base<maze::Cell*, std::pair<maze::Cell* const, unsigned int>, std::__detail::_Select1st, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false> const*, unsigned long) const
  0.00      0.00     0.00    81292     0.00     0.00  maze::Cell* const& std::__pair_get<0ul>::__const_get<maze::Cell* const, unsigned int>(std::pair<maze::Cell* const, unsigned int> const&)
  0.00      0.00     0.00    81292     0.00     0.00  std::tuple_element<0ul, std::pair<maze::Cell* const, unsigned int> >::type const& std::get<0ul, maze::Cell* const, unsigned int>(std::pair<maze::Cell* const, unsigned int> const&)
  0.00      0.00     0.00    80548     0.00     0.00  std::_Hashtable<maze::Cell*, std::pair<maze::Cell* const, unsigned int>, std::allocator<std::pair<maze::Cell* const, unsigned int> >, std::__detail::_Select1st, std::equal_to<maze::Cell*>, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false>*) const
  0.00      0.00     0.00    80199     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false> >::deallocate(std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false>*, unsigned long)
  0.00      0.00     0.00    80199     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false> >::destroy<std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false> >(std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false>*)
  0.00      0.00     0.00    80199     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00    80199     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false> >::max_size() const
  0.00      0.00     0.00    80199     0.00     0.00  std::_Hashtable<maze::Cell*, std::pair<maze::Cell* const, unsigned int>, std::allocator<std::pair<maze::Cell* const, unsigned int> >, std::__detail::_Select1st, std::equal_to<maze::Cell*>, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_deallocate_node(std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false>*)
  0.00      0.00     0.00    79401     0.00     0.00  _ZN9__gnu_cxx13new_allocatorINSt8__detail10_Hash_nodeISt4pairIKPN4maze4CellEjELb0EEEE9constructIS9_IRKS8_EEEvPT_DpOT0_
  0.00      0.00     0.00    79401     0.00     0.00  std::__detail::_Hash_code_base<maze::Cell*, std::pair<maze::Cell* const, unsigned int>, std::__detail::_Select1st, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_copy_code(std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false>*, std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false> const*) const
  0.00      0.00     0.00    79401     0.00     0.00  std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false>* std::_Hashtable<maze::Cell*, std::pair<maze::Cell* const, unsigned int>, std::allocator<std::pair<maze::Cell* const, unsigned int> >, std::__detail::_Select1st, std::equal_to<maze::Cell*>, std::hash<maze::Cell*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_allocate_node<std::pair<maze::Cell* const, unsigned int> const&>(std::pair<maze::Cell* const, unsigned int> const&)
  0.00      0.00     0.00    79401     0.00     0.00  std::__detail::_Hash_node<std::pair<maze::Cell* const, unsigned int>, false>::_Hash_node<std::pair<maze::Cell* const, unsigned int> const&>(std::pair<maze::Cell* const, unsigned int> const&)
  0.00      0.00     0.00     8177     0.00     0.00  __gnu_cxx::__normal_iterator<maze::Priority_and_cell*, std::vector<maze::Priority_and_cell, std::allocator<maze::Priority_and_cell> > >::__normal_iterator(maze::Priority_and_cell* const&)
  0.00      0.00     0.00     7717     0.00     0.00  __gnu_cxx::__normal_iterator<maze::Priority_and_cell*, std::vector<maze::Priority_and_cell, std::allocator<maze::Priority_and_cell> > >::operator*() const
